date,CPI_index_dic_2021_PN38705PM
2015-01-01,81.13
2015-02-01,81.38
2015-03-01,82.00
2015-04-01,82.32
2015-05-01,82.78
2015-06-01,83.06
2015-07-01,83.43
2015-08-01,83.75
2015-09-01,83.77
2015-10-01,83.89
2015-11-01,84.18
2015-12-01,84.56
2016-01-01,84.87
2016-02-01,85.02
2016-03-01,85.53
2016-04-01,85.54
2016-05-01,85.72
2016-06-01,85.84
2016-07-01,85.91
2016-08-01,86.21
2016-09-01,86.39
2016-10-01,86.75
2016-11-01,87.00
2016-12-01,87.29
2017-01-01,87.50
2017-02-01,87.78
2017-03-01,88.93
2017-04-01,88.70
2017-05-01,88.32
2017-06-01,88.18
2017-07-01,88.36
2017-08-01,88.95
2017-09-01,88.94
2017-10-01,88.52
2017-11-01,88.34
2017-12-01,88.48
2018-01-01,88.59
2018-02-01,88.82
2018-03-01,89.25
2018-04-01,89.13
2018-05-01,89.14
2018-06-01,89.44
2018-07-01,89.78
2018-08-01,89.90
2018-09-01,90.07
2018-10-01,90.15
2018-11-01,90.26
2018-12-01,90.42
2019-01-01,90.48
2019-02-01,90.60
2019-03-01,91.25
2019-04-01,91.44
2019-05-01,91.57
2019-06-01,91.49
2019-07-01,91.68
2019-08-01,91.74
2019-09-01,91.74
2019-10-01,91.84
2019-11-01,91.94
2019-12-01,92.14
2020-01-01,92.19
2020-02-01,92.32
2020-03-01,92.92
2020-04-01,93.01
2020-05-01,93.20
2020-06-01,92.96
2020-07-01,93.39
2020-08-01,93.28
2020-09-01,93.41
2020-10-01,93.43
2020-11-01,93.91
2020-12-01,93.96
2021-01-01,94.66
2021-02-01,94.54
2021-03-01,95.33
2021-04-01,95.23
2021-05-01,95.49
2021-06-01,95.98
2021-07-01,96.95
2021-08-01,97.90
2021-09-01,98.30
2021-10-01,98.87
2021-11-01,99.22
2021-12-01,100.00
2022-01-01,100.04
2022-02-01,100.35
2022-03-01,101.84
2022-04-01,102.82
2022-05-01,103.21
2022-06-01,104.44
2022-07-01,105.42
2022-08-01,106.13
2022-09-01,106.68
2022-10-01,107.05
2022-11-01,107.60
2022-12-01,108.46
2023-01-01,108.70
2023-02-01,109.02
2023-03-01,110.39
2023-04-01,111.01
2023-05-01,111.36
2023-06-01,111.19
2023-07-01,111.62
2023-08-01,112.04
2023-09-01,112.06
2023-10-01,111.70
2023-11-01,111.52
2023-12-01,111.97
2024-01-01,111.99
2024-02-01,112.62
2024-03-01,113.75
2024-04-01,113.69
2024-05-01,113.59
2024-06-01,113.73
2024-07-01,114.00
2024-08-01,114.32
2024-09-01,114.05
2024-10-01,113.94
2024-11-01,114.05
2024-12-01,114.17
