date,cpi_index_dec_2024_value
2015-01-01,61.6
2015-02-01,62.0
2015-03-01,62.9
2015-04-01,63.5
2015-05-01,63.7
2015-06-01,63.9
2015-07-01,64.6
2015-08-01,64.6
2015-09-01,64.6
2015-10-01,64.8
2015-11-01,64.8
2015-12-01,64.9
2016-01-01,65.5
2016-02-01,66.3
2016-03-01,66.8
2016-04-01,67.4
2016-05-01,67.5
2016-06-01,67.9
2016-07-01,68.5
2016-08-01,68.4
2016-09-01,68.5
2016-10-01,68.8
2016-11-01,69.1
2016-12-01,69.3
2017-01-01,69.8
2017-02-01,70.5
2017-03-01,71.0
2017-04-01,71.0
2017-05-01,71.2
2017-06-01,71.4
2017-07-01,71.6
2017-08-01,71.7
2017-09-01,72.0
2017-10-01,72.2
2017-11-01,72.3
2017-12-01,72.6
2018-01-01,72.8
2018-02-01,73.4
2018-03-01,73.6
2018-04-01,74.2
2018-05-01,74.3
2018-06-01,74.6
2018-07-01,75.3
2018-08-01,75.2
2018-09-01,75.5
2018-10-01,75.9
2018-11-01,76.0
2018-12-01,75.9
2019-01-01,75.7
2019-02-01,76.3
2019-03-01,77.0
2019-04-01,77.4
2019-05-01,77.7
2019-06-01,78.0
2019-07-01,78.2
2019-08-01,78.5
2019-09-01,78.6
2019-10-01,78.6
2019-11-01,78.7
2019-12-01,78.9
2020-01-01,79.2
2020-02-01,79.9
2020-03-01,80.2
2020-04-01,79.8
2020-05-01,79.2
2020-06-01,79.7
2020-07-01,80.7
2020-08-01,80.9
2020-09-01,81.0
2020-10-01,81.2
2020-11-01,81.2
2020-12-01,81.3
2021-01-01,80.4
2021-02-01,81.7
2021-03-01,82.2
2021-04-01,82.8
2021-05-01,83.3
2021-06-01,83.4
2021-07-01,83.5
2021-08-01,84.5
2021-09-01,84.8
2021-10-01,85.0
2021-11-01,85.3
2021-12-01,85.6
2022-01-01,86.3
2022-02-01,86.8
2022-03-01,87.7
2022-04-01,88.2
2022-05-01,88.8
2022-06-01,89.8
2022-07-01,91.1
2022-08-01,91.3
2022-09-01,91.4
2022-10-01,91.7
2022-11-01,92.0
2022-12-01,92.3
2023-01-01,92.2
2023-02-01,92.9
2023-03-01,93.9
2023-04-01,94.2
2023-05-01,94.4
2023-06-01,94.6
2023-07-01,95.4
2023-08-01,95.7
2023-09-01,96.3
2023-10-01,97.2
2023-11-01,97.1
2023-12-01,97.1
2024-01-01,97.2
2024-02-01,98.1
2024-03-01,98.9
2024-04-01,99.1
2024-05-01,99.3
2024-06-01,99.4
2024-07-01,99.8
2024-08-01,99.9
2024-09-01,100.0
2024-10-01,99.9
2024-11-01,99.9
2024-12-01,100.0
