date,prod_manufacturera_index_2007_PN02079AM
2015-01-01,120.0
2015-02-01,115.3
2015-03-01,122.0
2015-04-01,133.8
2015-05-01,130.9
2015-06-01,124.4
2015-07-01,124.3
2015-08-01,120.2
2015-09-01,121.1
2015-10-01,125.7
2015-11-01,124.9
2015-12-01,130.7
2016-01-01,116.7
2016-02-01,115.2
2016-03-01,116.3
2016-04-01,116.4
2016-05-01,119.1
2016-06-01,122.9
2016-07-01,125.2
2016-08-01,123.6
2016-09-01,124.3
2016-10-01,122.1
2016-11-01,130.2
2016-12-01,140.4
2017-01-01,124.6
2017-02-01,112.4
2017-03-01,119.4
2017-04-01,113.7
2017-05-01,134.1
2017-06-01,127.0
2017-07-01,119.6
2017-08-01,124.3
2017-09-01,122.7
2017-10-01,125.8
2017-11-01,122.9
2017-12-01,123.0
2018-01-01,124.4
2018-02-01,112.1
2018-03-01,121.5
2018-04-01,137.7
2018-05-01,148.4
2018-06-01,128.9
2018-07-01,122.1
2018-08-01,126.7
2018-09-01,124.5
2018-10-01,133.7
2018-11-01,137.9
2018-12-01,138.2
2019-01-01,118.2
2019-02-01,110.9
2019-03-01,126.6
2019-04-01,118.4
2019-05-01,138.5
2019-06-01,129.9
2019-07-01,131.8
2019-08-01,129.2
2019-09-01,126.8
2019-10-01,134.5
2019-11-01,134.6
2019-12-01,130.9
2020-01-01,119.5
2020-02-01,118.2
2020-03-01,84.8
2020-04-01,55.6
2020-05-01,77.3
2020-06-01,114.1
2020-07-01,121.0
2020-08-01,116.4
2020-09-01,123.7
2020-10-01,132.5
2020-11-01,131.3
2020-12-01,143.9
2021-01-01,128.5
2021-02-01,119.0
2021-03-01,127.3
2021-04-01,120.4
2021-05-01,141.9
2021-06-01,137.0
2021-07-01,130.4
2021-08-01,130.2
2021-09-01,134.1
2021-10-01,133.1
2021-11-01,138.0
2021-12-01,147.7
2022-01-01,126.3
2022-02-01,122.0
2022-03-01,132.5
2022-04-01,124.2
2022-05-01,144.5
2022-06-01,144.2
2022-07-01,133.3
2022-08-01,131.0
2022-09-01,134.9
2022-10-01,132.8
2022-11-01,135.7
2022-12-01,141.0
2023-01-01,126.6
2023-02-01,120.1
2023-03-01,132.7
2023-04-01,119.7
2023-05-01,122.0
2023-06-01,122.9
2023-07-01,116.0
2023-08-01,126.8
2023-09-01,123.5
2023-10-01,127.8
2023-11-01,135.0
2023-12-01,124.6
2024-01-01,121.2
2024-02-01,115.3
2024-03-01,119.2
2024-04-01,134.2
2024-05-01,144.1
2024-06-01,123.1
2024-07-01,128.9
2024-08-01,130.6
2024-09-01,127.8
2024-10-01,130.8
2024-11-01,145.2
2024-12-01,140.1
