observation_date,M1SL
2015-01-01,2955.6
2015-02-01,3025.2
2015-03-01,3001.2
2015-04-01,3002.7
2015-05-01,2978.3
2015-06-01,3014.8
2015-07-01,3035.1
2015-08-01,3014.3
2015-09-01,3038.0
2015-10-01,3017.9
2015-11-01,3074.6
2015-12-01,3106.3
2016-01-01,3107.2
2016-02-01,3142.5
2016-03-01,3157.8
2016-04-01,3200.1
2016-05-01,3236.8
2016-06-01,3242.5
2016-07-01,3242.1
2016-08-01,3310.8
2016-09-01,3319.6
2016-10-01,3332.0
2016-11-01,3347.1
2016-12-01,3345.4
2017-01-01,3399.1
2017-02-01,3409.9
2017-03-01,3455.8
2017-04-01,3454.5
2017-05-01,3517.8
2017-06-01,3525.5
2017-07-01,3546.3
2017-08-01,3581.8
2017-09-01,3563.6
2017-10-01,3603.9
2017-11-01,3622.0
2017-12-01,3612.6
2018-01-01,3659.1
2018-02-01,3621.3
2018-03-01,3667.4
2018-04-01,3664.0
2018-05-01,3655.7
2018-06-01,3655.9
2018-07-01,3679.5
2018-08-01,3686.3
2018-09-01,3694.8
2018-10-01,3722.9
2018-11-01,3697.3
2018-12-01,3761.0
2019-01-01,3754.1
2019-02-01,3762.3
2019-03-01,3738.4
2019-04-01,3789.9
2019-05-01,3789.2
2019-06-01,3832.1
2019-07-01,3862.5
2019-08-01,3847.1
2019-09-01,3894.0
2019-10-01,3926.3
2019-11-01,3942.6
2019-12-01,4003.6
2020-01-01,3989.3
2020-02-01,4001.1
2020-03-01,4266.0
2020-04-01,4804.3
2020-05-01,16231.5
2020-06-01,16554.5
2020-07-01,16761.7
2020-08-01,16879.5
2020-09-01,17159.2
2020-10-01,17360.5
2020-11-01,17618.5
2020-12-01,17827.9
2021-01-01,18088.5
2021-02-01,18349.1
2021-03-01,18607.9
2021-04-01,18969.6
2021-05-01,19257.9
2021-06-01,19318.5
2021-07-01,19488.7
2021-08-01,19686.7
2021-09-01,19867.6
2021-10-01,20046.8
2021-11-01,20235.2
2021-12-01,20398.8
2022-01-01,20520.6
2022-02-01,20640.8
2022-03-01,20684.4
2022-04-01,20727.2
2022-05-01,20669.4
2022-06-01,20593.0
2022-07-01,20531.7
2022-08-01,20435.1
2022-09-01,20281.4
2022-10-01,20092.2
2022-11-01,19922.9
2022-12-01,19671.2
2023-01-01,19527.3
2023-02-01,19384.7
2023-03-01,18925.1
2023-04-01,18615.2
2023-05-01,18548.9
2023-06-01,18434.9
2023-07-01,18342.1
2023-08-01,18225.9
2023-09-01,18124.6
2023-10-01,18022.9
2023-11-01,17957.4
2023-12-01,17914.8
2024-01-01,17943.2
2024-02-01,17983.8
2024-03-01,17980.6
2024-04-01,17973.8
2024-05-01,18002.9
2024-06-01,18039.0
2024-07-01,18036.8
2024-08-01,18091.4
2024-09-01,18157.1
2024-10-01,18215.1
2024-11-01,18327.9
2024-12-01,18358.6
