"DATE","TIME PERIOD","Monetary aggregate M1 reported by MFIs, central gov. and post office giro institutions in the euro area (stocks) (BSI.M.U2.N.V.M10.X.1.U2.2300.Z01.E)"
"1980-01-31","1980Jan","444852.27"
"1980-02-29","1980Feb","440073.67"
"1980-03-31","1980Mar","447850.49"
"1980-04-30","1980Apr","448945.81"
"1980-05-31","1980May","452286.12"
"1980-06-30","1980Jun","467166.30"
"1980-07-31","1980Jul","466043.41"
"1980-08-31","1980Aug","459263.57"
"1980-09-30","1980Sep","466001.25"
"1980-10-31","1980Oct","464731.65"
"1980-11-30","1980Nov","481987.10"
"1980-12-31","1980Dec","492650.26"
"1981-01-31","1981Jan","476508.05"
"1981-02-28","1981Feb","475180.67"
"1981-03-31","1981Mar","476580.40"
"1981-04-30","1981Apr","477209.09"
"1981-05-31","1981May","486156.35"
"1981-06-30","1981Jun","494938.82"
"1981-07-31","1981Jul","486452.04"
"1981-08-31","1981Aug","482937.55"
"1981-09-30","1981Sep","491639.48"
"1981-10-31","1981Oct","488624.29"
"1981-11-30","1981Nov","503127.46"
"1981-12-31","1981Dec","519134.58"
"1982-01-31","1982Jan","508184.76"
"1982-02-28","1982Feb","505693.03"
"1982-03-31","1982Mar","506139.68"
"1982-04-30","1982Apr","508383.13"
"1982-05-31","1982May","519015.53"
"1982-06-30","1982Jun","532428.67"
"1982-07-31","1982Jul","528072.24"
"1982-08-31","1982Aug","526323.98"
"1982-09-30","1982Sep","534766.55"
"1982-10-31","1982Oct","537822.96"
"1982-11-30","1982Nov","552997.55"
"1982-12-31","1982Dec","570578.13"
"1983-01-31","1983Jan","560451.85"
"1983-02-28","1983Feb","558655.99"
"1983-03-31","1983Mar","556214.44"
"1983-04-30","1983Apr","562411.05"
"1983-05-31","1983May","572976.31"
"1983-06-30","1983Jun","588354.95"
"1983-07-31","1983Jul","591184.42"
"1983-08-31","1983Aug","579687.77"
"1983-09-30","1983Sep","583100.42"
"1983-10-31","1983Oct","589869.07"
"1983-11-30","1983Nov","602041.72"
"1983-12-31","1983Dec","628682.12"
"1984-01-31","1984Jan","609077.60"
"1984-02-29","1984Feb","602325.91"
"1984-03-31","1984Mar","600315.81"
"1984-04-30","1984Apr","609466.54"
"1984-05-31","1984May","613568.97"
"1984-06-30","1984Jun","626388.08"
"1984-07-31","1984Jul","627786.78"
"1984-08-31","1984Aug","614506.70"
"1984-09-30","1984Sep","632731.00"
"1984-10-31","1984Oct","630576.69"
"1984-11-30","1984Nov","640197.84"
"1984-12-31","1984Dec","682436.08"
"1985-01-31","1985Jan","657736.83"
"1985-02-28","1985Feb","652197.33"
"1985-03-31","1985Mar","655550.54"
"1985-04-30","1985Apr","657232.49"
"1985-05-31","1985May","654406.13"
"1985-06-30","1985Jun","678597.66"
"1985-07-31","1985Jul","677765.37"
"1985-08-31","1985Aug","663189.68"
"1985-09-30","1985Sep","681099.76"
"1985-10-31","1985Oct","680402.69"
"1985-11-30","1985Nov","693519.70"
