date;M1_PEN
1/01/2015;65926.08548
1/02/2015;66294.28685
1/03/2015;64786.87988
1/04/2015;64051.26449
1/05/2015;63795.32199
1/06/2015;63748.78012
1/07/2015;65306.15067
1/08/2015;64632.75618
1/09/2015;64249.86908
1/10/2015;66609.96172
1/11/2015;65910.06405
1/12/2015;71324.18833
1/01/2016;69125.06337
1/02/2016;68688.73673
1/03/2016;66579.70071
1/04/2016;67225.16701
1/05/2016;66280.2537
1/06/2016;66503.99361
1/07/2016;69531.20207
1/08/2016;70019.18331
1/09/2016;69258.83695
1/10/2016;69873.88313
1/11/2016;69853.55039
1/12/2016;73804.68722
1/01/2017;70918.4122
1/02/2017;72075.1577
1/03/2017;70590.96566
1/04/2017;70909.46186
1/05/2017;71664.94894
1/06/2017;73005.18441
1/07/2017;74634.98712
1/08/2017;73468.1144
1/09/2017;76896.19581
1/10/2017;77683.51623
1/11/2017;78581.63978
1/12/2017;81713.06196
1/01/2018;81632.73441
1/02/2018;82079.04144
1/03/2018;82806.08148
1/04/2018;80278.52481
1/05/2018;83040.35081
1/06/2018;81794.40183
1/07/2018;83131.52732
1/08/2018;85509.20958
1/09/2018;85281.55111
1/10/2018;86488.08392
1/11/2018;88140.48061
1/12/2018;92197.84568
1/01/2019;89600.72
1/02/2019;88812.85
1/03/2019;91989.52
1/04/2019;92045.75
1/05/2019;89105.35
1/06/2019;89681.46
1/07/2019;92793.69
1/08/2019;96162.3
1/09/2019;94026.23
1/10/2019;94200.5
1/11/2019;96384.78
1/12/2019;99448.45
1/01/2020;99612.11
1/02/2020;101588.32
1/03/2020;102585.05
1/04/2020;107457.79
1/05/2020;124958.35
1/06/2020;129673.39
1/07/2020;135265.73
1/08/2020;137479.52
1/09/2020;138954.28
1/10/2020;138433.18
1/11/2020;138671.8
1/12/2020;143021.6066
1/01/2021;149241.5261
1/02/2021;149012.3616
1/03/2021;148649.3827
1/04/2021;142628.3811
1/05/2021;140737.1859
1/06/2021;141006.9709
1/07/2021;148387.9271
1/08/2021;147950.0725
1/09/2021;145417.3586
1/10/2021;143235.2245
1/11/2021;142187.7757
1/12/2021;144621.1177
1/01/2022;142546.2245
1/02/2022;139781.3886
1/03/2022;138497.6023
1/04/2022;135314.8129
1/05/2022;134973.5805
1/06/2022;134998.735
1/07/2022;137264.0951
1/08/2022;137565.14
1/09/2022;140115.2729
1/10/2022;139129.3269
1/11/2022;136048.2699
1/12/2022;136968.0255
1/01/2023;140053.6853
1/02/2023;138403.9264
1/03/2023;132892.3816
1/04/2023;130158.0149
1/05/2023;129296.8557
1/06/2023;128561.0144
1/07/2023;129777.3103
1/08/2023;130399.6139
1/09/2023;130338.3344
1/10/2023;130072.1998
1/11/2023;131524.2077
1/12/2023;137086.7021
1/01/2024;135078.3203
1/02/2024;133996.3994
1/03/2024;135317.2914
1/04/2024;133831.2656
1/05/2024;139303.8188
1/06/2024;143728.6065
1/07/2024;147567.778
1/08/2024;151462.1826
1/09/2024;154260.2791
1/10/2024;154465.2214
1/11/2024;154136.8664
1/12/2024;157942.7359
