date; ZAR ; DEXSFUS ; USD 
1/01/2015; 1,239,868,918,894.70 ; 11.55 ; 107,322,869,882.77 
1/02/2015; 1,259,405,094,339.10 ; 11.58 ; 108,782,280,353.72 
1/03/2015; 1,309,180,329,168.00 ; 12.09 ; 108,300,546,736.38 
1/04/2015; 1,304,078,888,549.50 ; 11.98 ; 108,895,569,166.17 
1/05/2015; 1,308,850,308,900.00 ; 11.97 ; 109,325,952,965.25 
1/06/2015; 1,312,159,284,564.30 ; 12.29 ; 106,755,126,354.76 
1/07/2015; 1,346,961,123,908.60 ; 12.46 ; 108,101,083,763.39 
1/08/2015; 1,339,886,634,866.20 ; 12.90 ; 103,857,519,832.74 
1/09/2015; 1,353,821,488,476.80 ; 13.64 ; 99,262,507,586.94 
1/10/2015; 1,363,972,412,575.40 ; 13.49 ; 101,088,907,608.16 
1/11/2015; 1,436,679,234,111.80 ; 14.14 ; 101,568,709,153.96 
1/12/2015; 1,427,838,769,581.40 ; 15.00 ; 95,174,023,461.67 
1/01/2016; 1,445,289,491,723.00 ; 16.33 ; 88,532,281,269.40 
1/02/2016; 1,416,193,716,226.10 ; 15.76 ; 89,847,465,215.90 
1/03/2016; 1,490,171,722,534.70 ; 15.38 ; 96,895,269,099.48 
1/04/2016; 1,449,868,646,621.00 ; 14.59 ; 99,395,936,505.68 
1/05/2016; 1,436,986,996,947.80 ; 15.33 ; 93,763,221,056.64 
1/06/2016; 1,436,672,076,422.60 ; 15.05 ; 95,459,938,632.73 
1/07/2016; 1,451,769,177,664.50 ; 14.39 ; 100,866,336,251.27 
1/08/2016; 1,469,582,844,302.70 ; 13.78 ; 106,624,404,642.21 
1/09/2016; 1,465,062,751,394.20 ; 14.03 ; 104,450,375,819.47 
1/10/2016; 1,518,266,049,898.80 ; 13.93 ; 109,013,667,394.17 
1/11/2016; 1,610,126,894,093.90 ; 13.91 ; 115,732,391,309.54 
1/12/2016; 1,606,521,884,272.00 ; 13.84 ; 116,097,464,482.68 
1/01/2017; 1,604,181,206,665.40 ; 13.54 ; 118,436,956,917.55 
1/02/2017; 1,577,975,058,469.50 ; 13.19 ; 119,629,662,140.90 
1/03/2017; 1,603,405,384,157.40 ; 12.92 ; 124,099,702,341.08 
1/04/2017; 1,582,112,676,998.50 ; 13.45 ; 117,622,199,199.94 
1/05/2017; 1,582,829,412,428.20 ; 13.26 ; 119,332,736,160.15 
1/06/2017; 1,600,480,006,784.88 ; 12.89 ; 124,141,355,122.78 
1/07/2017; 1,633,769,492,543.08 ; 13.15 ; 124,237,246,969.15 
1/08/2017; 1,642,058,978,301.29 ; 13.21 ; 124,258,146,357.62 
1/09/2017; 1,650,348,464,059.49 ; 13.17 ; 125,313,099,975.66 
1/10/2017; 1,663,637,949,817.69 ; 13.70 ; 121,455,590,422.90 
1/11/2017; 1,688,927,435,575.90 ; 14.04 ; 120,269,991,424.50 
1/12/2017; 1,700,216,921,334.10 ; 13.09 ; 129,868,843,194.53 
1/01/2018; 1,663,506,407,092.30 ; 12.20 ; 136,407,770,915.56 
1/02/2018; 1,663,795,892,850.51 ; 11.82 ; 140,742,022,471.62 
1/03/2018; 1,690,085,378,608.71 ; 11.84 ; 142,717,179,122.86 
1/04/2018; 1,663,374,864,366.91 ; 12.11 ; 137,392,919,983.72 
1/05/2018; 1,636,664,350,125.12 ; 12.54 ; 130,521,743,474.58 
1/06/2018; 1,639,953,835,883.32 ; 13.31 ; 123,176,991,984.51 
1/07/2018; 1,703,243,321,641.52 ; 13.37 ; 127,421,509,810.84 
1/08/2018; 1,726,532,807,399.73 ; 14.09 ; 122,522,127,182.13 
1/09/2018; 1,769,822,293,157.93 ; 14.75 ; 119,984,698,256.18 
1/10/2018; 1,723,111,778,916.14 ; 14.49 ; 118,942,753,723.44 
1/11/2018; 1,766,401,264,674.34 ; 14.09 ; 125,364,707,466.54 
