observation_date,XTNTVA01EZM664N
2015-01-01,6718800000.00000000
2015-02-01,19729900000.00000000
2015-03-01,19363500000.00000000
2015-04-01,20668600000.00000000
2015-05-01,18265800000.00000000
2015-06-01,25530100000.00000000
2015-07-01,30614200000.00000000
2015-08-01,11040400000.00000000
2015-09-01,19029500000.00000000
2015-10-01,23871200000.00000000
2015-11-01,23403800000.00000000
2015-12-01,24667000000.00000000
2016-01-01,5079200000.00000000
2016-02-01,18183800000.00000000
2016-03-01,28388800000.00000000
2016-04-01,27851500000.00000000
2016-05-01,23238400000.00000000
2016-06-01,29127300000.00000000
2016-07-01,25450200000.00000000
2016-08-01,17794800000.00000000
2016-09-01,25000600000.00000000
2016-10-01,20049100000.00000000
2016-11-01,24025500000.00000000
2016-12-01,28243700000.00000000
2017-01-01,353900000.00000000
2017-02-01,17289700000.00000000
2017-03-01,29569400000.00000000
2017-04-01,17012000000.00000000
2017-05-01,20094500000.00000000
2017-06-01,26306800000.00000000
2017-07-01,21781200000.00000000
2017-08-01,15806800000.00000000
2017-09-01,25620400000.00000000
2017-10-01,18561200000.00000000
2017-11-01,23809600000.00000000
2017-12-01,24507300000.00000000
2018-01-01,3202700000.00000000
2018-02-01,16928600000.00000000
2018-03-01,27237600000.00000000
2018-04-01,16286800000.00000000
2018-05-01,16803300000.00000000
2018-06-01,22606800000.00000000
2018-07-01,16587700000.00000191
2018-08-01,11652600000.00000000
2018-09-01,12196400000.00000000
2018-10-01,12804400000.00000000
2018-11-01,17846100000.00000000
2018-12-01,15881900000.00000000
2019-01-01,800200000.00000000
2019-02-01,17847500000.00000000
2019-03-01,22383800000.00000000
2019-04-01,14668800000.00000000
2019-05-01,21242900000.00000000
2019-06-01,19128200000.00000000
2019-07-01,22440200000.00000000
2019-08-01,14054200000.00000000
2019-09-01,18250200000.00000000
2019-10-01,27119800000.00000000
2019-11-01,20099000000.00000000
2019-12-01,22660200000.00000000
2020-01-01,1594400000.00000000
2020-02-01,23256300000.00000000
2020-03-01,29501100000.00000000
2020-04-01,2546799999.99997997
2020-05-01,8940200000.00000000
2020-06-01,19801200000.00000000
2020-07-01,26943300000.00000000
2020-08-01,13834800000.00000000
2020-09-01,24140900000.00000000
2020-10-01,29754900000.00000000
2020-11-01,24951800000.00000000
2020-12-01,28163100000.00000000
2021-01-01,10507600000.00000000
2021-02-01,23391500000.00000000
2021-03-01,22733000000.00000000
2021-04-01,14749100000.00000000
2021-05-01,11833700000.00000000
2021-06-01,17067599999.99999809
2021-07-01,20062000000.00000000
2021-08-01,1795300000.00000000
2021-09-01,6622100000.00000000
2021-10-01,277000000.00000000
2021-11-01,-3847800000.00000000
2021-12-01,-8794400000.00000000
2022-01-01,-28822300000.00000000
2022-02-01,-8413399999.99999809
2022-03-01,-18158600000.00000000
2022-04-01,-33480500000.00000000
2022-05-01,-29264900000.00000000
2022-06-01,-26547100000.00000000
2022-07-01,-34593000000.00000000
2022-08-01,-52293700000.00000000
2022-09-01,-35273000000.00000000
2022-10-01,-27472800000.00000000
2022-11-01,-11648000000.00000000
2022-12-01,-8753000000.00000000
