Month,Exports,Imports,Balance
January 2025,164862.1,317226.6,-152364.5
February 2025,167575.3,288193.9,-120618.6
March 2025,191411.0,342726.7,-151315.7
April 2025,189711.2,276133.4,-86422.2
May 2025,183013.1,276516.7,-93503.6
January 2024,160165.5,253692.7,-93527.2
February 2024,167463.7,242229.5,-74765.8
March 2024,179369.7,259086.6,-79716.9
April 2024,171150.4,270974.2,-99823.8
May 2024,173045.4,274906.2,-101860.8
June 2024,173980.3,266056.6,-92076.3
July 2024,168887.9,288127.3,-119239.5
August 2024,180149.8,277306.3,-97156.5
September 2024,171336.2,285963.2,-114627.0
October 2024,176745.1,288844.0,-112098.9
November 2024,174038.4,274312.3,-100273.9
December 2024,165358.3,284911.2,-119552.9
January 2023,164771.7,254625.8,-89854.1
February 2023,158721.3,230169.8,-71448.5
March 2023,183570.7,261243.9,-77673.3
April 2023,162665.5,249869.2,-87203.7
May 2023,167143.6,263244.8,-96101.2
June 2023,167154.1,257210.7,-90056.6
July 2023,160198.4,255333.0,-95134.6
August 2023,172690.5,265555.5,-92865.0
September 2023,171889.8,260862.5,-88972.7
October 2023,178336.3,276178.5,-97842.3
November 2023,165645.8,255461.3,-89815.5
December 2023,167691.6,247041.3,-79349.7
January 2022,148865.5,247008.6,-98143.2
February 2022,151519.9,233955.4,-82435.5
March 2022,180487.3,295671.9,-115184.5
April 2022,175060.8,272415.1,-97354.3
May 2022,180001.5,285287.2,-105285.7
June 2022,183277.8,285978.0,-102700.2
July 2022,176867.3,270391.0,-93523.7
August 2022,181777.6,283273.0,-101495.3
September 2022,176559.4,275053.1,-98493.7
October 2022,180160.8,281439.4,-101278.6
November 2022,170796.7,255572.0,-84775.2
December 2022,167273.4,253688.4,-86414.9
January 2021,128153.2,204628.3,-76475.0
February 2021,124189.1,193435.1,-69246.0
March 2021,152653.7,236917.2,-84263.4
April 2021,144013.5,226461.8,-82448.3
May 2021,145829.0,230414.0,-84585.0
June 2021,148066.6,242322.1,-94255.5
July 2021,144285.5,237302.4,-93016.9
August 2021,148305.3,245231.5,-96926.3
September 2021,142346.6,244355.8,-102009.3
October 2021,164120.5,251211.9,-87091.4
November 2021,156499.4,259390.2,-102890.8
December 2021,159281.5,256845.2,-97563.7
January 2020,129119.5,195796.2,-66676.7
February 2020,131117.0,178108.0,-46991.0
March 2020,133295.7,193922.8,-60627.1
April 2020,94709.0,165611.9,-70902.9
May 2020,91026.8,163494.1,-72467.3
June 2020,105122.4,179138.1,-74015.7
July 2020,113303.5,199927.7,-86624.2
August 2020,118351.8,203112.0,-84760.2
September 2020,121447.9,206083.7,-84635.8
October 2020,132638.5,218952.6,-86314.1
November 2020,127232.2,212453.3,-85221.1
December 2020,132631.0,214876.8,-82245.7
January 2019,129868.7,203980.7,-74112.0
February 2019,130075.1,185267.5,-55192.5
March 2019,148549.4,207511.0,-58961.7
April 2019,135077.4,208742.1,-73664.8
May 2019,142531.2,220207.6,-77676.4
June 2019,138284.0,206531.6,-68247.5
July 2019,133436.0,218311.1,-84875.2
August 2019,138665.4,215245.8,-76580.5
September 2019,134381.9,206148.9,-71767.0
October 2019,142478.6,218901.1,-76422.5
November 2019,137137.1,198974.6,-61837.5
December 2019,135455.6,201877.4,-66421.7
January 2018,125038.5,203028.9,-77990.4
February 2018,128218.8,186770.2,-58551.5
March 2018,149561.8,207985.5,-58423.7
April 2018,138230.4,205084.4,-66854.0
May 2018,145527.7,216026.5,-70498.9
June 2018,145498.5,211252.7,-65754.1
July 2018,133808.2,216854.2,-83046.0
August 2018,140217.8,221897.0,-81679.2
September 2018,139388.9,211317.5,-71928.6
October 2018,147081.9,235857.7,-88775.8
November 2018,139278.2,213493.0,-74214.8
December 2018,133936.1,206577.7,-72641.6
January 2017,117528.0,185653.7,-68125.7
February 2017,119234.2,169238.1,-50004.0
March 2017,135977.0,194066.1,-58089.1
April 2017,123925.3,185868.2,-61942.9
May 2017,127881.1,200330.9,-72449.8
June 2017,132711.2,198174.4,-65463.2
July 2017,122201.7,191754.5,-69552.8
August 2017,129236.6,201557.2,-72320.7
September 2017,130342.9,194517.3,-64174.4
October 2017,136312.5,210605.9,-74293.4
November 2017,135681.5,207578.7,-71897.1
December 2017,136163.5,200246.4,-64082.9
January 2016,107960.3,165816.2,-57855.9
February 2016,113460.4,168042.1,-54581.7
