observation_date,DEXSFUS
2015-01-02,11.6990
2015-01-05,11.7155
2015-01-06,11.7005
2015-01-07,11.7075
2015-01-08,11.5530
2015-01-09,11.4850
2015-01-12,11.5260
2015-01-13,11.5100
2015-01-14,11.4405
2015-01-15,11.5100
2015-01-16,11.5740
2015-01-19,
2015-01-20,11.6130
2015-01-21,11.5240
2015-01-22,11.3765
2015-01-23,11.4020
2015-01-26,11.4430
2015-01-27,11.5410
2015-01-28,11.5250
2015-01-29,11.5570
2015-01-30,11.6510
2015-02-02,11.5185
2015-02-03,11.4065
2015-02-04,11.4375
2015-02-05,11.2705
2015-02-06,11.5005
2015-02-09,11.5930
2015-02-10,11.7040
2015-02-11,11.8645
2015-02-12,11.6920
2015-02-13,11.6300
2015-02-16,
2015-02-17,11.6310
2015-02-18,11.6820
2015-02-19,11.6225
2015-02-20,11.6230
2015-02-23,11.6250
2015-02-24,11.5385
2015-02-25,11.4440
2015-02-26,11.5000
2015-02-27,11.6865
2015-03-02,11.7490
2015-03-03,11.7660
2015-03-04,11.8230
2015-03-05,11.8145
2015-03-06,12.0555
2015-03-09,12.0910
2015-03-10,12.3335
2015-03-11,12.2760
2015-03-12,12.2625
2015-03-13,12.4655
2015-03-16,12.4200
2015-03-17,12.3875
2015-03-18,12.3265
2015-03-19,12.3285
2015-03-20,12.0400
2015-03-23,11.9030
2015-03-24,11.8360
2015-03-25,11.8550
2015-03-26,11.9220
2015-03-27,12.0155
2015-03-30,12.1355
2015-03-31,12.1385
2015-04-01,11.9610
2015-04-02,11.9730
2015-04-03,11.7765
2015-04-06,11.7340
2015-04-07,11.8575
2015-04-08,11.8145
2015-04-09,11.9040
2015-04-10,11.9935
2015-04-13,12.1095
2015-04-14,11.9940
2015-04-15,12.1720
2015-04-16,11.9650
2015-04-17,12.0670
2015-04-20,12.0945
2015-04-21,12.1120
2015-04-22,12.2050
2015-04-23,12.1800
2015-04-24,12.1055
2015-04-27,11.9785
2015-04-28,11.8100
2015-04-29,11.7185
2015-04-30,11.9355
2015-05-01,12.0650
2015-05-04,12.0455
2015-05-05,12.0040
2015-05-06,11.9775
2015-05-07,12.0405
2015-05-08,11.9215
2015-05-11,12.0820
2015-05-12,12.0430
2015-05-13,11.8760
2015-05-14,11.8220
2015-05-15,11.7645
2015-05-18,11.8520
2015-05-19,11.9130
2015-05-20,11.8705
2015-05-21,11.8395
2015-05-22,11.8600
2015-05-25,
2015-05-26,12.0790
2015-05-27,12.0775
2015-05-28,12.1655
2015-05-29,12.1420
2015-06-01,12.2530
2015-06-02,12.2290
2015-06-03,12.2625
2015-06-04,12.3625
2015-06-05,12.5715
2015-06-08,12.5400
2015-06-09,12.4300
2015-06-10,12.3115
2015-06-11,12.3370
2015-06-12,12.4050
2015-06-15,12.4025
2015-06-16,12.3815
2015-06-17,12.4100
2015-06-18,12.1890
2015-06-19,12.1545
2015-06-22,12.1105
2015-06-23,12.1955
2015-06-24,12.1455
2015-06-25,12.0845
2015-06-26,12.2140
2015-06-29,12.2740
2015-06-30,12.1450
2015-07-01,12.2530
2015-07-02,12.2700
2015-07-03,
2015-07-06,12.3985
2015-07-07,12.5090
2015-07-08,12.5225
2015-07-09,12.5190
2015-07-10,12.4630
2015-07-13,12.4460
2015-07-14,12.3375
2015-07-15,12.4355
2015-07-16,12.3735
2015-07-17,12.3370
2015-07-20,12.4350
2015-07-21,12.3355
2015-07-22,12.4045
2015-07-23,12.4245
2015-07-24,12.6140
2015-07-27,12.6095
2015-07-28,12.5660
2015-07-29,12.5105
2015-07-30,12.7405
2015-07-31,12.6200
2015-08-03,12.6870
2015-08-04,12.6550
2015-08-05,12.8100
2015-08-06,12.7405
2015-08-07,12.6275
2015-08-10,12.6735
2015-08-11,12.8030
2015-08-12,12.7600
2015-08-13,12.8205
2015-08-14,12.7980
2015-08-17,12.8765
2015-08-18,12.9260
2015-08-19,12.9460
2015-08-20,12.8615
2015-08-21,12.9250
2015-08-24,13.1690
2015-08-25,13.0460
2015-08-26,13.1250
2015-08-27,13.1120
2015-08-28,13.3185
2015-08-31,13.2455
2015-09-01,13.3980
2015-09-02,13.4790
2015-09-03,13.5250
