date,pi_yoy_percent,pi_yoy_decimal
2015-01-01,3.07,0.030699999999999998
2015-01-02,3.07,0.030699999999999998
2015-01-03,3.07,0.030699999999999998
2015-01-04,3.07,0.030699999999999998
2015-01-05,3.07,0.030699999999999998
2015-01-06,3.07,0.030699999999999998
2015-01-07,3.07,0.030699999999999998
2015-01-08,3.07,0.030699999999999998
2015-01-09,3.07,0.030699999999999998
2015-01-10,3.07,0.030699999999999998
2015-01-11,3.07,0.030699999999999998
2015-01-12,3.07,0.030699999999999998
2015-01-13,3.07,0.030699999999999998
2015-01-14,3.07,0.030699999999999998
2015-01-15,3.07,0.030699999999999998
2015-01-16,3.07,0.030699999999999998
2015-01-17,3.07,0.030699999999999998
2015-01-18,3.07,0.030699999999999998
2015-01-19,3.07,0.030699999999999998
2015-01-20,3.07,0.030699999999999998
2015-01-21,3.07,0.030699999999999998
2015-01-22,3.07,0.030699999999999998
2015-01-23,3.07,0.030699999999999998
2015-01-24,3.07,0.030699999999999998
2015-01-25,3.07,0.030699999999999998
2015-01-26,3.07,0.030699999999999998
2015-01-27,3.07,0.030699999999999998
2015-01-28,3.07,0.030699999999999998
2015-01-29,3.07,0.030699999999999998
2015-01-30,3.07,0.030699999999999998
2015-01-31,3.07,0.030699999999999998
2015-02-01,2.77,0.0277
2015-02-02,2.77,0.0277
2015-02-03,2.77,0.0277
2015-02-04,2.77,0.0277
2015-02-05,2.77,0.0277
2015-02-06,2.77,0.0277
2015-02-07,2.77,0.0277
2015-02-08,2.77,0.0277
2015-02-09,2.77,0.0277
2015-02-10,2.77,0.0277
2015-02-11,2.77,0.0277
2015-02-12,2.77,0.0277
2015-02-13,2.77,0.0277
2015-02-14,2.77,0.0277
2015-02-15,2.77,0.0277
2015-02-16,2.77,0.0277
2015-02-17,2.77,0.0277
2015-02-18,2.77,0.0277
2015-02-19,2.77,0.0277
2015-02-20,2.77,0.0277
2015-02-21,2.77,0.0277
2015-02-22,2.77,0.0277
2015-02-23,2.77,0.0277
2015-02-24,2.77,0.0277
2015-02-25,2.77,0.0277
2015-02-26,2.77,0.0277
2015-02-27,2.77,0.0277
2015-02-28,2.77,0.0277
2015-03-01,3.02,0.0302
2015-03-02,3.02,0.0302
2015-03-03,3.02,0.0302
2015-03-04,3.02,0.0302
2015-03-05,3.02,0.0302
2015-03-06,3.02,0.0302
2015-03-07,3.02,0.0302
2015-03-08,3.02,0.0302
2015-03-09,3.02,0.0302
2015-03-10,3.02,0.0302
2015-03-11,3.02,0.0302
2015-03-12,3.02,0.0302
2015-03-13,3.02,0.0302
2015-03-14,3.02,0.0302
2015-03-15,3.02,0.0302
2015-03-16,3.02,0.0302
2015-03-17,3.02,0.0302
2015-03-18,3.02,0.0302
2015-03-19,3.02,0.0302
2015-03-20,3.02,0.0302
2015-03-21,3.02,0.0302
2015-03-22,3.02,0.0302
2015-03-23,3.02,0.0302
2015-03-24,3.02,0.0302
2015-03-25,3.02,0.0302
2015-03-26,3.02,0.0302
2015-03-27,3.02,0.0302
2015-03-28,3.02,0.0302
2015-03-29,3.02,0.0302
2015-03-30,3.02,0.0302
2015-03-31,3.02,0.0302
2015-04-01,3.02,0.0302
2015-04-02,3.02,0.0302
2015-04-03,3.02,0.0302
2015-04-04,3.02,0.0302
2015-04-05,3.02,0.0302
2015-04-06,3.02,0.0302
2015-04-07,3.02,0.0302
2015-04-08,3.02,0.0302
2015-04-09,3.02,0.0302
2015-04-10,3.02,0.0302
2015-04-11,3.02,0.0302
2015-04-12,3.02,0.0302
2015-04-13,3.02,0.0302
2015-04-14,3.02,0.0302
2015-04-15,3.02,0.0302
2015-04-16,3.02,0.0302
2015-04-17,3.02,0.0302
2015-04-18,3.02,0.0302
2015-04-19,3.02,0.0302
2015-04-20,3.02,0.0302
2015-04-21,3.02,0.0302
2015-04-22,3.02,0.0302
2015-04-23,3.02,0.0302
2015-04-24,3.02,0.0302
2015-04-25,3.02,0.0302
2015-04-26,3.02,0.0302
2015-04-27,3.02,0.0302
2015-04-28,3.02,0.0302
2015-04-29,3.02,0.0302
2015-04-30,3.02,0.0302
2015-05-01,3.37,0.0337
