date,rate,source
2015-01-06,1.1936,Historical
2015-01-07,1.182,Historical
2015-01-08,1.1811,Historical
2015-01-09,1.183,Historical
2015-01-12,1.1832,Historical
2015-01-13,1.1779,Historical
2015-01-14,1.1806,Historical
2015-01-15,1.1598,Historical
2015-01-16,1.1517,Historical
2015-01-20,1.1559,Historical
2015-01-21,1.1584,Historical
2015-01-22,1.1414,Historical
2015-01-23,1.1279,Historical
2015-01-26,1.129,Historical
2015-01-27,1.137,Historical
2015-01-28,1.1342,Historical
2015-01-29,1.1308,Historical
2015-01-30,1.129,Historical
2015-02-02,1.1337,Historical
2015-02-03,1.1462,Historical
2015-02-04,1.1418,Historical
2015-02-05,1.1432,Historical
2015-02-06,1.133,Historical
2015-02-09,1.1316,Historical
2015-02-10,1.1316,Historical
2015-02-11,1.13,Historical
2015-02-12,1.141,Historical
2015-02-13,1.1408,Historical
2015-02-17,1.1395,Historical
2015-02-18,1.1342,Historical
2015-02-19,1.1392,Historical
2015-02-20,1.1372,Historical
2015-02-23,1.1346,Historical
2015-02-24,1.1307,Historical
2015-02-25,1.1363,Historical
2015-02-26,1.1212,Historical
2015-02-27,1.1197,Historical
2015-03-02,1.119,Historical
2015-03-03,1.1212,Historical
2015-03-04,1.107,Historical
2015-03-05,1.1006,Historical
2015-03-06,1.0855,Historical
2015-03-09,1.0846,Historical
2015-03-10,1.0707,Historical
2015-03-11,1.0576,Historical
2015-03-12,1.0615,Historical
2015-03-13,1.0524,Historical
2015-03-16,1.0575,Historical
2015-03-17,1.0605,Historical
2015-03-18,1.0643,Historical
2015-03-19,1.0621,Historical
2015-03-20,1.0792,Historical
2015-03-23,1.0928,Historical
2015-03-24,1.0908,Historical
2015-03-25,1.0986,Historical
2015-03-26,1.0919,Historical
2015-03-27,1.0891,Historical
2015-03-30,1.0818,Historical
2015-03-31,1.0741,Historical
2015-04-01,1.0768,Historical
2015-04-02,1.0874,Historical
2015-04-03,1.099,Historical
2015-04-06,1.1008,Historical
2015-04-07,1.085,Historical
2015-04-08,1.0818,Historical
2015-04-09,1.0671,Historical
2015-04-10,1.0598,Historical
2015-04-13,1.0582,Historical
2015-04-14,1.0672,Historical
2015-04-15,1.0596,Historical
2015-04-16,1.0742,Historical
2015-04-17,1.078,Historical
2015-04-20,1.0763,Historical
2015-04-21,1.0758,Historical
2015-04-22,1.0729,Historical
2015-04-23,1.0803,Historical
2015-04-24,1.0876,Historical
2015-04-27,1.0892,Historical
2015-04-28,1.0979,Historical
2015-04-29,1.1174,Historical
2015-04-30,1.1162,Historical
2015-05-01,1.1194,Historical
2015-05-04,1.1145,Historical
2015-05-05,1.1174,Historical
2015-05-06,1.1345,Historical
2015-05-07,1.1283,Historical
2015-05-08,1.1241,Historical
2015-05-11,1.1142,Historical
2015-05-12,1.124,Historical
2015-05-13,1.1372,Historical
2015-05-14,1.1368,Historical
2015-05-15,1.1428,Historical
2015-05-18,1.1354,Historical
2015-05-19,1.1151,Historical
2015-05-20,1.1079,Historical
2015-05-21,1.1126,Historical
2015-05-22,1.1033,Historical
2015-05-26,1.0876,Historical
2015-05-27,1.0888,Historical
2015-05-28,1.0914,Historical
2015-05-29,1.0994,Historical
2015-06-01,1.0913,Historical
2015-06-02,1.113,Historical
2015-06-03,1.1285,Historical
2015-06-04,1.1271,Historical
2015-06-05,1.1108,Historical
2015-06-08,1.1232,Historical
2015-06-09,1.1284,Historical
2015-06-10,1.1307,Historical
2015-06-11,1.1236,Historical
2015-06-12,1.1278,Historical
2015-06-15,1.1266,Historical
2015-06-16,1.1238,Historical
2015-06-17,1.1244,Historical
2015-06-18,1.1404,Historical
2015-06-19,1.1335,Historical
2015-06-22,1.1378,Historical
2015-06-23,1.119,Historical
2015-06-24,1.1178,Historical
2015-06-25,1.1196,Historical
